Bayview,91.01063829787235
Bernal Heights,96.15151515151516
Castro/Upper Market,96.15538847117794
Chinatown,93.16
Crocker Amazon,91.21739130434783
Diamond Heights,97.0
Downtown/Civic Center,89.656836461126
Excelsior,92.30232558139535
Financial District,93.47
Glen Park,96.01449275362319
Golden Gate Park,87.75
Haight Ashbury,94.04416403785488
Inner Richmond,94.35321100917432
Inner Sunset,94.93548387096774
Lakeshore,92.41176470588235
Marina,95.17021276595744
Mission,95.29928741092637
Nob Hill,93.48523206751055
Noe Valley,95.81651376146789
North Beach,94.2536231884058
Ocean View,92.01098901098901
Outer Mission,95.38129496402878
Outer Richmond,94.67785234899328
Outer Sunset,94.33175355450237
Pacific Heights,94.75757575757575
Parkside,93.70833333333333
Potrero Hill,96.08968609865471
Presidio,97.66666666666667
Presidio Heights,96.35483870967742
Russian Hill,94.9873417721519
Seacliff,95.27777777777777
South of Market,93.82742316784869
Treasure Island/YBI,91.6470588235294
Twin Peaks,96.21794871794872
Visitacion Valley,94.21875
West of Twin Peaks,96.05319148936171
Western Addition,95.31206896551724
